race_ethn,year,state,n_mn,n_min,n_max,pop,r_mn,r_min,r_max
Total,2019,AL,821,817,826,56901,14.428568917945203,14.35827138363122,14.516440835837683
Total,2019,AZ,2605.1,2554,2661,81929,31.797043781811077,31.173333007848257,32.47934186917941
Total,2019,CT,201.7,187,218,34625,5.825270758122743,5.40072202166065,6.296028880866426
Total,2019,DC,90.4,75,106,9552,9.463986599664992,7.851758793969848,11.09715242881072
Total,2019,HI,199.6,190,211,16800,11.880952380952381,11.309523809523808,12.55952380952381
Total,2019,IN,1582.1,1572,1594,80356,19.68863557170591,19.56294489521629,19.836726566777838
Total,2019,KS,31,29,36,35325,0.8775654635527247,0.8209483368719038,1.019108280254777
Total,2019,KY,1599,1563,1636,53154,30.082402076983858,29.40512473191105,30.77849268164202
Total,2019,LA,2074,2058,2093,58010,35.752456473021894,35.476641958283054,36.07998620927427
Total,2019,MA,2316.6,2254,2374,70791,32.724498876975886,31.84020567586275,33.53533641282084
Total,2019,MD,82.39999999999999,69,96,69926,1.178388582215485,0.9867574292823842,1.3728799016102737
Total,2019,ME,165.1,147,185,12035,13.71832156211051,12.214374740340672,15.37183215621105
Total,2019,MI,6735.5999999999995,6708,6761,109018,61.7842925021556,61.53112330073933,62.01728154983581
Total,2019,MN,1509,1491,1539,67629,22.312913099410014,22.046755090271922,22.756509781306836
Total,2019,MS,280.4,275,286,35518,7.8945886592713554,7.742553071681964,8.052255194549243
Total,2019,NJ,937.5,921,955,99459,9.425994630953458,9.260097125448677,9.601946530731256
Total,2019,NM,513.5,496,536,23014,22.31250543147649,21.552098722516728,23.290171200139046
Total,2019,NV,1363.4,1331,1393,35701,38.18940645920282,37.281868855214135,39.01851488753817
Total,2019,OH,5928.4,5904,5953,133487,44.41181538277136,44.22902604748028,44.59610299130252
Total,2019,OK,524.8,517,533,48442,10.833574171173773,10.67255687213575,11.002848767598365
Total,2019,OR,792.7,743,836,43312,18.302087181381605,17.154599187292206,19.30181012190617
Total,2019,TX,2781.5,2752,2809,377806,7.362244114704373,7.284161712624998,7.4350327946088735
Total,2019,UT,502.8,494,513,48566,10.352921797142034,10.171725075155457,10.562945270353746
Total,2019,WV,1280.6,1277,1285,17755,72.12616164460715,71.92340185863137,72.37397916079978
